Element  Element          D_e                   a                   r_e                   C          

   Ni       Ni           -4.1169422058         1.9646125436         3.0855427994   1565723.5408062998
   Ni       O             2.8477218502         1.8585599925         1.8889890679      -237.7102900215
   O        O             0.9518834610         2.2973073469         2.7254029136    -74897.3163133895
