Element  Element          D_e                   a                   r_e         

   Ni       Ni          -11.4618270719         1.7003046615         2.3947090034
   Ni       O             2.9815553399         1.7463879340         1.8150563456
   O        O             1.8703667780         2.0003013632         2.3388096968
