Element  Element           A                    B                    C          

   Ni       Ni          130.6828207344        45.8294487989     -3446.4089044521
   Ni       O           -96.2684544580         1.5798284178       -87.8348883728
   O        O          -625.3473310617         1.9001974014      -894.0661728055
