 #Reference     Predicted       Error      No_of_atoms  structure_no 
-323.98479035 1348.54613024 1672.53092059            54             0
-320.96706108 1356.45569341 1677.42275449            54             1
-323.83033660 1332.26189302 1656.09222962            54             2
-321.64881775 1342.83256004 1664.48137779            54             3
-326.49398014 1337.16355458 1663.65753472            54             4
-325.99429252 1338.58651966 1664.58081218            54             5
-329.36597794 1346.07118109 1675.43715903            54             6
-328.41631131 1340.76612164 1669.18243295            54             7
-321.25981518 1422.24575997 1743.50557515            54             8
-325.07967796 1407.00786649 1732.08754445            54             9
-327.47561333 1418.71370022 1746.18931355            54            10
-329.87510841 1407.60920770 1737.48431611            54            11
-331.41724238 1403.57610765 1734.99335003            54            12
-334.21217504 1409.69278115 1743.90495619            54            13
-333.48545599 1412.23544479 1745.72090078            54            14
-336.26072731 1405.67466598 1741.93539329            54            15
-336.48679020 1408.26572679 1744.75251699            54            16
-320.69956734 1479.99313743 1800.69270477            54            17
-321.22378498 1490.05245683 1811.27624181            54            18
-322.41344968 1485.02289820 1807.43634788            54            19
-322.94583158 1486.34721150 1809.29304308            54            20
-337.11490878 1404.86406128 1741.97897006            54            21
