Element  Element          D_e                   a                   r_e         

   Ni       Ni          -18.4375852647         3.0511854723         1.3406341275
   O        O            -3.1823779770         3.5437492761         1.5409271056
   Ni       O             1.3376891226         2.2406147012         1.7787419935
