Element  Element        epsilon               sigma        

   Li       Ni            0.0066594210         1.9938608818
   Li       O             0.0163692090         1.5826609694
   Ni       O             0.0302878588         1.7710265406
   O        O           -28.3841694996         0.3184394864
   Ni       Ni           -7.5108323667         0.3637552738
   Li       Li           -0.1412963093         2.4798641714
