Element  Element           A                    B                    C          

   Li       Ni           -5.0023683921         1.9175390830        -9.7787045217
   Li       O           -10.3012067183         2.5873507041        -2.9600586565
   Ni       O            -0.6658684818         1.4150642903        -0.8371532959
   O        O            -1.3696597557         1.8536227119        -3.5465898963
   Ni       Ni           -0.2738635760         1.6791497688        -1.3393411946
   Li       Li           17.1568362771         1.4380034865        81.7453405893
