Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0630        -5153.841    -5153.841        0.000     0.0
0.0635        -5153.841    -5153.841        0.000     0.0
0.0640        -5153.841    -5153.841        0.000     0.0
0.0645        -5153.841    -5153.841        0.000     0.0
0.0650        -5153.841    -5153.841        0.000     0.0
0.0655        -5153.841    -5153.841        0.000     0.0
0.0660        -5153.841    -5153.841        0.000     0.0
0.0665        -5153.841    -5153.841        0.000     0.0
0.0670        -5153.841    -5153.841        0.000     0.0
0.0675        -5153.841    -5153.841        0.000     0.0
0.0680        -5153.841    -5153.841        0.000     0.0
0.0685        -5153.841    -5153.841        0.000     0.0
0.0690        -5153.841    -5153.841        0.000     0.0
0.0695        -5153.841    -5153.841        0.000     0.0
0.0700        -5153.841    -5153.841        0.000     0.0
0.0705        -5153.841    -5153.841        0.000     0.0
0.0710        -5153.841    -5153.841        0.000     0.0
0.0715        -5153.841    -5153.841        0.000     0.0
0.0720        -5153.841    -5153.841        0.000     0.0
0.0725        -5153.841    -5153.841        0.000     0.0
0.0730        -5153.841    -5153.841        0.000     0.0
0.0735        -5153.841    -5153.841        0.000     0.0
0.0740        -5153.841    -5153.841        0.000     0.0
0.0745        -5153.841    -5153.841        0.000     0.0
0.0750        -5153.841    -5153.841        0.000     0.0
0.0755        -5153.841    -5153.841        0.000     0.0
0.0760        -5153.841    -5153.841        0.000     0.0
0.0765        -5153.841    -5153.841        0.000     0.0
0.0770        -5153.841    -5153.841        0.000     0.0
0.0775        -5153.841    -5153.841        0.000     0.0
0.0780        -5153.841    -5153.841        0.000     0.0
0.0785        -5153.841    -5153.841        0.000     0.0
0.0790        -5153.841    -5153.841        0.000     0.0
0.0795        -5153.841    -5153.841        0.000     0.0
0.0800        -5153.841    -5153.841        0.000     0.0
0.0805        -5153.841    -5153.841        0.000     0.0
0.0810        -5153.841    -5153.841        0.000     0.0
0.0815        -5153.841    -5153.841        0.000     0.0
0.0820        -5153.841    -5153.841        0.000     0.0
0.0825        -5153.841    -5153.841        0.000     0.0
0.0830        -5153.841    -5153.841        0.000     0.0
0.0835        -5153.841    -5153.841        0.000     0.0
0.0840        -5153.841    -5153.841        0.000     0.0
0.0845        -5153.841    -5153.841        0.000     0.0
0.0850        -5153.841    -5153.841        0.000     0.0
0.0855        -5153.841    -5153.841        0.000     0.0
0.0860        -5153.841    -5153.841        0.000     0.0
0.0865        -5153.841    -5153.841        0.000     0.0
0.0870        -5153.841    -5153.841        0.000     0.0
0.0875        -5153.841    -5153.841        0.000     0.0
0.0880        -5153.841    -5153.841        0.000     0.0
0.0885        -5153.841    -5153.841        0.000     0.0
0.0890        -5153.841    -5153.841        0.000     0.0
0.0895        -5153.841    -5153.841        0.000     0.0
0.0900        -5153.841    -5153.841        0.000     0.0
0.0905        -5153.841    -5153.841        0.000     0.0
0.0910        -5153.841    -5153.841        0.000     0.0
0.0915        -5153.841    -5153.841        0.000     0.0
0.0920        -5153.841    -5153.841        0.000     0.0
0.0925        -5153.841    -5153.841        0.000     0.0
0.0930        -5153.841    -5153.841        0.000     0.0
0.0935        -5153.841    -5153.841        0.000     0.0
0.0940        -5153.841    -5153.841        0.000     0.0
0.0945        -5153.841    -5153.841        0.000     0.0
0.0950        -5153.841    -5153.841        0.000     0.0
0.0955        -5153.841    -5153.841        0.000     0.0
0.0960        -5153.841    -5153.841        0.000     0.0
0.0965        -5153.841    -5153.841        0.000     0.0
0.0970        -5153.841    -5153.841        0.000     0.0
0.0975        -5153.841    -5153.841        0.000     0.0
0.0980        -5153.841    -5153.841        0.000     0.0
0.0985        -5153.841    -5153.841        0.000     0.0
0.0990        -5153.841    -5153.841        0.000     0.0
0.0995        -5153.841    -5153.841        0.000     0.0
0.1000        -5153.841    -5153.841        0.000     0.0
0.1005        -5153.841    -5153.841        0.000     0.0
0.1010        -5153.841    -5153.841        0.000     0.0
0.1015        -5153.841    -5153.841        0.000     0.0
