Element  Element          D_e                   a                   r_e                   C          

   Li       Ni            0.0037732684         4.1929695479         2.8710541920        -0.0036986041
   Li       O             0.0123047659         4.0100381694         2.0267261263        -0.0122493897
   Ni       O             0.0305196509         1.3338829698         1.6693875395        -0.0297742394
   O        O             0.0000000002         3.8298014207         0.0073500772        -0.0000014884
   Ni       Ni            0.0000000001         3.0168237001         0.1112933399         0.0000140908
   Li       Li            0.0000000100         5.0944551857         0.0393867301         0.0402660532
