 #Reference     Predicted       Error     structure_no 
   0.00000000   -0.00000903    0.00000903             2
   0.00415100   -0.81580225    0.81995325             2
  -0.00000000   -0.00000319    0.00000319             2
   0.00000000    0.00000268    0.00000268             2
   0.00206100   -0.54709974    0.54916074             2
  -0.00000000   -0.00000979    0.00000979             2
  -0.00000000    0.00000819    0.00000819             2
  -0.01119900    0.49199072    0.50318972             2
  -0.00847500    0.22648265    0.23495765             3
   0.00242400    0.27720420    0.27478020             3
  -0.00917600   -0.19895060    0.18977460             3
   0.00847500   -0.22649041    0.23496541             3
  -0.00242400   -0.27724013    0.27481613             3
   0.00917600    0.19892630    0.18975030             3
  -0.00223500   -0.00219482    0.00004018             3
  -0.00223000   -0.03434347    0.03211347             3
  -0.00325700   -0.07798985    0.07473285             3
   0.00000000   -0.00000179    0.00000179             3
   0.00000000    0.00001581    0.00001581             3
  -0.00000000   -0.00002201    0.00002201             3
   0.00223500    0.00220632    0.00002868             3
   0.00223000    0.03436208    0.03213208             3
   0.00325700    0.07800052    0.07474352             3
   0.00000000   -0.00000377    0.00000377             3
   0.00000000    0.00000122    0.00000122             3
  -0.00000000    0.00001812    0.00001812             3
  -0.00048100    0.46727363    0.46775463             3
   0.00999200    1.01625527    1.00626327             3
   0.00763000   -0.50854086    0.51617086             3
  -0.00482100    0.38459472    0.38941572             3
   0.01201900    0.57602423    0.56400523             3
   0.00771100    0.83299709    0.82528609             3
  -0.00111600   -0.46744970    0.46633370             3
   0.00770400    0.65627631    0.64857231             3
   0.00193700    0.65434111    0.65240411             3
  -0.00171100   -0.56884334    0.56713234             3
   0.00644800    0.77038316    0.76393516             3
   0.00206300   -0.05525592    0.05731892             3
   0.00111600    0.46746194    0.46634594             3
  -0.00770400   -0.65628495    0.64858095             3
  -0.00193700   -0.65438665    0.65244965             3
   0.00482100   -0.38457462    0.38939562             3
  -0.01201900   -0.57601836    0.56399936             3
  -0.00771100   -0.83299365    0.82528265             3
   0.00048100   -0.46730241    0.46778341             3
  -0.00999200   -1.01626810    1.00627610             3
  -0.00763000    0.50858158    0.51621158             3
   0.00171100    0.56884159    0.56713059             3
  -0.00644800   -0.77036727    0.76391927             3
  -0.00206300    0.05527482    0.05733782             3
  -0.00847500    0.22648265    0.23495765             4
   0.00242400    0.27720420    0.27478020             4
  -0.00917600   -0.19895060    0.18977460             4
   0.00847500   -0.22649041    0.23496541             4
  -0.00242400   -0.27724013    0.27481613             4
   0.00917600    0.19892630    0.18975030             4
  -0.00223500   -0.00219482    0.00004018             4
  -0.00223000   -0.03434347    0.03211347             4
  -0.00325700   -0.07798985    0.07473285             4
   0.00000000   -0.00000179    0.00000179             4
   0.00000000    0.00001581    0.00001581             4
  -0.00000000   -0.00002201    0.00002201             4
   0.00223500    0.00220632    0.00002868             4
   0.00223000    0.03436208    0.03213208             4
   0.00325700    0.07800052    0.07474352             4
   0.00000000   -0.00000377    0.00000377             4
   0.00000000    0.00000122    0.00000122             4
  -0.00000000    0.00001812    0.00001812             4
  -0.00048100    0.46727363    0.46775463             4
   0.00999200    1.01625527    1.00626327             4
   0.00763000   -0.50854086    0.51617086             4
  -0.00482100    0.38459472    0.38941572             4
   0.01201900    0.57602423    0.56400523             4
   0.00771100    0.83299709    0.82528609             4
  -0.00111600   -0.46744970    0.46633370             4
   0.00770400    0.65627631    0.64857231             4
   0.00193700    0.65434111    0.65240411             4
  -0.00171100   -0.56884334    0.56713234             4
   0.00644800    0.77038316    0.76393516             4
   0.00206300   -0.05525592    0.05731892             4
   0.00111600    0.46746194    0.46634594             4
  -0.00770400   -0.65628495    0.64858095             4
  -0.00193700   -0.65438665    0.65244965             4
   0.00482100   -0.38457462    0.38939562             4
  -0.01201900   -0.57601836    0.56399936             4
  -0.00771100   -0.83299365    0.82528265             4
   0.00048100   -0.46730241    0.46778341             4
  -0.00999200   -1.01626810    1.00627610             4
  -0.00763000    0.50858158    0.51621158             4
   0.00171100    0.56884159    0.56713059             4
  -0.00644800   -0.77036727    0.76391927             4
  -0.00206300    0.05527482    0.05733782             4
   0.00000000    0.00000242    0.00000242             5
   0.00000000   -0.00000079    0.00000079             5
  -0.00000000   -0.00001100    0.00001100             5
   0.00000000    0.00000413    0.00000413             5
   0.00000000    0.00001073    0.00001073             5
  -0.00000000    0.00000103    0.00000103             5
   0.00000000    0.00000128    0.00000128             5
  -0.00320500    0.21106163    0.21426663             5
  -0.00000000    0.00000076    0.00000076             5
  -0.00000000    0.00000825    0.00000825             5
   0.00320500   -0.21107261    0.21427761             5
  -0.00000000    0.00000198    0.00000198             5
   0.00081300    0.97863979    0.97782679             5
   0.00000000   -0.00000041    0.00000041             5
   0.01685200    1.44023572    1.42338372             5
   0.00125800   -0.12023950    0.12149750             5
  -0.00112100   -0.67496629    0.67384529             5
   0.01229900    1.14489511    1.13259611             5
   0.00125800   -0.12024120    0.12149920             5
   0.00112100    0.67496564    0.67384464             5
   0.01229900    1.14489398    1.13259498             5
  -0.00081300   -0.97863764    0.97782464             5
  -0.00000000    0.00000071    0.00000071             5
  -0.01685200   -1.44023892    1.42338692             5
  -0.00125800    0.12022709    0.12148509             5
  -0.00112100   -0.67496968    0.67384868             5
  -0.01229900   -1.14489255    1.13259355             5
  -0.00125800    0.12023539    0.12149339             5
   0.00112100    0.67497106    0.67385006             5
  -0.01229900   -1.14488611    1.13258711             5
   0.00000000    0.00000157    0.00000157             6
   0.00000000   -0.00001436    0.00001436             6
  -0.00000000    0.00000104    0.00000104             6
   0.00000000    0.00002437    0.00002437             6
   0.01073700    0.41189268    0.40115568             6
   0.00576000    0.27552819    0.26976819             6
   0.00000000    0.00000114    0.00000114             6
   0.00000000    0.00000878    0.00000878             6
  -0.00000000    0.00002391    0.00002391             6
  -0.00000000   -0.00002362    0.00002362             6
  -0.01073700   -0.41188770    0.40115070             6
  -0.00576000   -0.27556593    0.26980593             6
   0.00000000    0.00001001    0.00001001             6
  -0.00831700   -1.08720999    1.07889299             6
   0.00404600    0.90328966    0.89924366             6
   0.00000000   -0.00000907    0.00000907             6
  -0.00315100   -0.86206143    0.85891043             6
   0.00268400   -0.03685374    0.03953774             6
  -0.00000000    0.00001185    0.00001185             6
  -0.00058300   -0.00164626    0.00106326             6
  -0.00325600    0.82568467    0.82894067             6
   0.00000000   -0.00001647    0.00001647             6
   0.00058300    0.00164730    0.00106430             6
   0.00325600   -0.82567419    0.82893019             6
  -0.00000000    0.00000891    0.00000891             6
   0.00315100    0.86205541    0.85890441             6
  -0.00268400    0.03683327    0.03951727             6
  -0.00000000   -0.00000868    0.00000868             6
   0.00831700    1.08721557    1.07889857             6
  -0.00404600   -0.90326689    0.89922089             6
  -0.00000000   -0.00000099    0.00000099             7
  -0.00000000    0.00001419    0.00001419             7
  -0.00000000   -0.00000961    0.00000961             7
  -0.00000000    0.00000097    0.00000097             7
   0.00392500   -0.00886666    0.01279166             7
  -0.00974600   -0.89859974    0.88885374             7
   0.00000000   -0.00000105    0.00000105             7
  -0.00392500    0.00886608    0.01279108             7
   0.00974600    0.89860705    0.88886105             7
  -0.00000000   -0.00000089    0.00000089             7
  -0.00374000    0.02138067    0.02512067             7
  -0.00204500   -1.01559671    1.01355171             7
   0.00000000    0.00000096    0.00000096             7
   0.00374000   -0.02138389    0.02512389             7
   0.00204500    1.01561049    1.01356549             7
   0.00000000   -0.00000007    0.00000007             7
