Element  Element           A                    B                    C          

   Li       Ni           29.7179953162        12.3337097810      -860.7229181138
   Li       O          -202.0653413083         1.9295825442      -161.7622565866
   Ni       O            -4.4802975275        52.3423861720       563.1635692590
   O        O            48.1303714483        29.0312184023      -759.7474255250
   Ni       Ni         1178.9879833345         1.2583706845      6349.0551700819
   Li       Li         -151.0215317192         1.7105704336      -722.2458445479
