# Reference      Predicted      Error          #atoms         
-528.98172      -529.07818      0.09646         85.00000       
-565.46499      -565.43179      0.03320         92.00000       
-565.34108      -565.30398      0.03711         92.00000       
-565.44300      -565.50123      0.05823         92.00000       
-565.45332      -565.41411      0.03920         92.00000       
-565.46206      -565.43903      0.02303         92.00000       
-576.65112      -576.73846      0.08734         94.00000       
-576.59162      -576.71938      0.12776         94.00000       
-576.61925      -576.80250      0.18325         94.00000       
-576.63061      -576.69969      0.06908         94.00000       
-576.64350      -576.75060      0.10710         94.00000       
-576.65091      -576.74023      0.08932         94.00000       
-566.43575      -566.44287      0.00712         92.00000       
-566.34122      -566.46801      0.12680         92.00000       
-566.37836      -566.48026      0.10190         92.00000       
-566.39301      -566.48054      0.08753         92.00000       
-566.40735      -566.46962      0.06227         92.00000       
-566.41782      -566.45993      0.04211         92.00000       
-566.42951      -566.44334      0.01383         92.00000       
-581.75543      -581.78184      0.02641         95.00000       
-581.67907      -581.70893      0.02985         95.00000       
-581.72026      -581.69918      0.02108         95.00000       
-581.73294      -581.79519      0.06226         95.00000       
-581.74294      -581.75792      0.01498         95.00000       
-581.75242      -581.80273      0.05030         95.00000       
-517.95890      -518.06406      0.10516         83.00000       
-517.95738      -518.00246      0.04508         83.00000       
-534.49518      -534.43315      0.06203         86.00000       
-534.49518      -534.43315      0.06203         86.00000       
-639.53340      -639.52527      0.00813         107.00000      
-639.53274      -639.53823      0.00549         107.00000      
-576.65936      -576.64691      0.01244         94.00000       
-576.56015      -576.62567      0.06551         94.00000       
-576.60569      -576.74085      0.13517         94.00000       
-576.62326      -576.62055      0.00270         94.00000       
-576.63639      -576.70101      0.06462         94.00000       
-576.64497      -576.68832      0.04336         94.00000       
-576.65431      -576.67879      0.02448         94.00000       
-518.02333      -518.02306      0.00027         83.00000       
-518.02214      -517.96530      0.05684         83.00000       
-586.93173      -586.78064      0.15109         96.00000       
-586.92933      -586.66224      0.26709         96.00000       
-630.17285      -630.21665      0.04380         105.00000      
-630.17285      -630.21665      0.04380         105.00000      
-580.94916      -581.06731      0.11815         95.00000       
-580.86605      -580.88449      0.01844         95.00000       
-580.90212      -580.98271      0.08059         95.00000       
-580.91721      -581.05174      0.13453         95.00000       
-580.93017      -581.10233      0.17216         95.00000       
-580.93928      -581.14405      0.20477         95.00000       
-580.94832      -581.07407      0.12575         95.00000       
-611.39357      -611.36647      0.02711         101.00000      
-611.39357      -611.36647      0.02711         101.00000      
-545.39843      -545.38328      0.01515         88.00000       
-545.39843      -545.38328      0.01515         88.00000       
-616.08348      -616.17731      0.09382         102.00000      
-616.08348      -616.17731      0.09382         102.00000      
-625.50569      -625.52703      0.02133         104.00000      
-625.50490      -625.51148      0.00658         104.00000      
-634.76338      -634.61789      0.14548         106.00000      
-634.67317      -634.83476      0.16159         106.00000      
-634.71727      -634.86901      0.15174         106.00000      
-634.73624      -634.63060      0.10564         106.00000      
-634.75332      -634.69455      0.05878         106.00000      
-581.77473      -581.65178      0.12295         95.00000       
-581.71561      -581.70852      0.00709         95.00000       
-581.74097      -581.72645      0.01452         95.00000       
-581.75316      -581.74231      0.01085         95.00000       
-581.76329      -581.72230      0.04099         95.00000       
-581.77172      -581.69740      0.07432         95.00000       
-616.15139      -616.14303      0.00836         102.00000      
-616.15139      -616.14303      0.00836         102.00000      
-539.98776      -539.95647      0.03129         87.00000       
-539.98776      -539.95647      0.03129         87.00000       
-571.60800      -571.49606      0.11194         93.00000       
-571.48537      -571.57282      0.08745         93.00000       
-571.53551      -571.57700      0.04149         93.00000       
-571.55660      -571.63541      0.07881         93.00000       
-571.57030      -571.56873      0.00157         93.00000       
-571.58236      -571.60677      0.02442         93.00000       
-571.59874      -571.59610      0.00264         93.00000       
-571.60654      -571.51753      0.08901         93.00000       
-523.49933      -523.48951      0.00982         84.00000       
-523.49665      -523.41802      0.07863         84.00000       
-554.93342      -555.20052      0.26710         90.00000       
-554.90939      -554.81556      0.09383         90.00000       
-554.91819      -554.85344      0.06474         90.00000       
-554.92691      -554.99074      0.06384         90.00000       
-591.90065      -591.84957      0.05108         97.00000       
-591.89829      -591.77005      0.12824         97.00000       
-528.97559      -528.96685      0.00873         85.00000       
-528.97409      -528.90763      0.06646         85.00000       
-621.01420      -620.91343      0.10076         103.00000      
-620.78105      -620.76150      0.01954         103.00000      
-620.98786      -621.33902      0.35116         103.00000      
-621.00240      -620.92666      0.07573         103.00000      
-621.01207      -620.87305      0.13901         103.00000      
-539.96845      -540.05819      0.08974         87.00000       
-539.96730      -540.02404      0.05674         87.00000       
-576.70619      -576.50629      0.19990         94.00000       
-576.62130      -576.72018      0.09887         94.00000       
-576.65199      -576.70149      0.04950         94.00000       
-576.66442      -576.75668      0.09225         94.00000       
-576.67501      -576.68421      0.00920         94.00000       
-576.68941      -576.66548      0.02394         94.00000       
-576.69930      -576.59708      0.10222         94.00000       
-581.78695      -581.65888      0.12807         95.00000       
-581.69152      -581.62319      0.06833         95.00000       
-581.72451      -581.75219      0.02768         95.00000       
-581.73949      -581.68440      0.05509         95.00000       
-581.75236      -581.76016      0.00780         95.00000       
-581.76162      -581.72777      0.03384         95.00000       
-581.77097      -581.74976      0.02121         95.00000       
-581.77836      -581.71526      0.06311         95.00000       
-581.78636      -581.65975      0.12661         95.00000       
-523.49666      -523.51182      0.01516         84.00000       
-523.49581      -523.47167      0.02414         84.00000       
-576.73045      -576.45550      0.27496         94.00000       
-576.64159      -576.65271      0.01113         94.00000       
-576.66865      -576.73137      0.06272         94.00000       
-576.68287      -576.64061      0.04226         94.00000       
-576.69687      -576.66126      0.03561         94.00000       
-576.70848      -576.64478      0.06370         94.00000       
-576.71978      -576.56590      0.15388         94.00000       
-576.72689      -576.50093      0.22597         94.00000       
-566.48470      -566.44198      0.04272         92.00000       
-566.47681      -566.47420      0.00261         92.00000       
-566.48925      -566.46935      0.01991         92.00000       
-566.47933      -566.49919      0.01986         92.00000       
-575.57716      -575.40731      0.16984         94.00000       
-575.50625      -575.44685      0.05940         94.00000       
-575.53556      -575.54884      0.01328         94.00000       
-575.54824      -575.42333      0.12491         94.00000       
-575.56116      -575.44860      0.11256         94.00000       
-575.57064      -575.43127      0.13937         94.00000       
-555.33740      -555.10745      0.22996         90.00000       
-555.32313      -555.04951      0.27361         90.00000       
-555.33536      -555.11317      0.22219         90.00000       
-580.62180      -580.66417      0.04237         95.00000       
-580.51798      -580.56901      0.05103         95.00000       
-580.56219      -580.63056      0.06837         95.00000       
-580.57862      -580.65075      0.07214         95.00000       
-580.59902      -580.62168      0.02266         95.00000       
-580.60888      -580.65930      0.05042         95.00000       
-580.61679      -580.67505      0.05826         95.00000       
-559.10517      -558.93998      0.16520         91.00000       
-553.76694      -553.75498      0.01195         91.00000       
-555.99971      -555.36346      0.63624         91.00000       
-556.12014      -556.49606      0.37592         91.00000       
-557.17741      -557.52414      0.34673         91.00000       
-557.89361      -557.85761      0.03600         91.00000       
-557.93576      -557.71731      0.21845         91.00000       
-558.30966      -558.23359      0.07607         91.00000       
-558.32533      -558.28774      0.03759         91.00000       
-558.63446      -558.85264      0.21819         91.00000       
-558.66587      -558.88993      0.22406         91.00000       
-558.82277      -558.94230      0.11953         91.00000       
-558.92530      -558.87968      0.04562         91.00000       
-558.98076      -558.80707      0.17369         91.00000       
-559.02115      -558.89570      0.12545         91.00000       
-559.05410      -558.96698      0.08712         91.00000       
-559.07153      -558.94901      0.12252         91.00000       
-559.08303      -558.93945      0.14358         91.00000       
-559.09296      -558.95171      0.14125         91.00000       
-559.09974      -559.01599      0.08374         91.00000       
-559.10423      -558.95237      0.15186         91.00000       
-559.21295      -559.46202      0.24908         91.00000       
-557.27544      -557.18238      0.09307         91.00000       
-558.24651      -557.95958      0.28693         91.00000       
-558.53468      -558.76007      0.22540         91.00000       
-558.73527      -558.97014      0.23487         91.00000       
-558.76354      -558.95769      0.19416         91.00000       
-558.93469      -559.32474      0.39005         91.00000       
-558.96444      -559.43636      0.47192         91.00000       
-559.07632      -559.61984      0.54352         91.00000       
-559.12059      -559.52524      0.40465         91.00000       
-559.14817      -559.47460      0.32643         91.00000       
-559.16847      -559.45070      0.28223         91.00000       
-559.18992      -559.42321      0.23329         91.00000       
-559.20243      -559.42610      0.22367         91.00000       
-559.20823      -559.39568      0.18744         91.00000       
# MSE = 1.79912E-02
# Maxerror = 6.36243E-01
