Element  Element          D_e                   a                   r_e                   C          

   Li       Ni            0.9244889125         7.4821248720         0.0002432920        -0.4162202826
   Li       O             1.7543989014         1.9611741034         1.9461654103        -1.7377049383
   Ni       O            22.8227169700         1.1957110440         1.7913885308       -21.8397499097
   O        O             0.4830451525         8.5132693812         0.0002639229         0.2445053735
   Ni       Ni            2.1060143409        12.3037052465         0.0056031138         5.4975498431
   Li       Li            0.0000000053         5.8260812925         0.0247859038         0.0382826867
