Element  Element          D_e                   a                   r_e                   C          

   Ni       Ni           -9.7630336259         3.2058176979         1.5806352008       874.7466374904
   O        O            -0.0958229317         3.8757899626         2.3064148772      6446.8107124555
   Ni       O             1.1760988028         2.4549874809         1.7401343983        -1.1148909559
