Element  Element           A                    B                    C          

   Ni       Ni           63.1575639498        21.1142966302      -204.9475451167
   O        O             9.2262560084        21.7321168117       -56.9981383214
   Ni       O           -78.4308309688       102.7071686871       -25.0547141425
