# Reference      Predicted      Error          #atoms         
-1807.35027     -1808.32059     0.97032         66.00000       
-884.08777      -884.15308      0.06531         40.00000       
-1668.42279     -1668.13905     0.28374         67.00000       
-1660.37716     -1660.03407     0.34309         66.00000       
-821.86671      -821.80357      0.06315         32.00000       
-1635.84422     -1635.39750     0.44671         63.00000       
-1627.34324     -1627.13201     0.21123         62.00000       
-1652.22405     -1651.81184     0.41221         65.00000       
-1916.45948     -1918.09738     1.63790         80.00000       
-1791.04406     -1791.65813     0.61407         64.00000       
-1783.17837     -1782.99118     0.18719         63.00000       
-1774.51136     -1774.86408     0.35272         62.00000       
-1768.25608     -1768.25806     0.00199         80.00000       
-2068.97633     -2069.12953     0.15320         80.00000       
-1034.11247     -1034.04999     0.06248         40.00000       
-2069.50788     -2069.13050     0.37739         80.00000       
-2069.31793     -2068.36952     0.94841         80.00000       
-1034.71591     -1034.11941     0.59649         40.00000       
-2069.36137     -2069.16955     0.19182         80.00000       
# MSE = 3.28590E-01
# Maxerror = 1.63790E+00
