Element  Element          D_e                   a                   r_e                   C          

   O        O             0.0000005000         5.4644874036         0.0078511746         0.0216063267
   Ni       Ni            1.1387955663         7.4469398252         0.0002380034        -0.7445095058
   Li       Li            0.0000000000         3.9774802963         0.0686026718         0.0224003334
   Ni       Ta          115.3241647057        77.5001224467         0.0151054007        32.9181522454
   Li       Ta           21.7719907687        18.8187090821         0.0760433819        20.6115944175
   Li       Ni            0.5017748609         1.0217803707         2.9816425104        -0.4428062099
   Li       O             0.0000000000         7.2964322787         0.0004050990         0.1640850264
   Ni       O             1.0031398543         1.3411302043         1.9259044436        -0.9861097455
   O        Ta            0.0035860884        17.0450492203         0.6746714815      -221.5561118000
