Element  Element        epsilon               sigma        

   O        O             1.1939845554        -0.0067036610
   Ni       Ni           -1.1987569923         2.5274422498
   Li       Li           -0.0743797502         2.4117166323
   Ni       Ta         -497.3243856359         2.4452597352
   Li       Ta         -173.0442430595         2.3590455162
   Li       Ni            0.5531050637         2.5327059054
   Li       O            -0.6011657070         1.7448298669
   Ni       O             1.3131945353         1.5861075154
   O        Ta          956.9427932634         1.7209492154
