Element  Element        epsilon               sigma        

   Li       Ni           -2.1278946455         2.3357693069
   Li       O             1.9665146416         1.7468880963
   Ni       O            29.8852375746         1.5309449900
   O        O            -3.3940614572         2.1017611282
   Ni       Ni          -25.9823195514         2.3613153839
   Li       Li       -34451.7755374683         0.3023882978
