# Reference      Predicted      Error          #atoms         
-254.63475      -254.66055      0.02579         41.00000       
-309.44159      -309.46988      0.02829         49.00000       
-233.37000      -233.33536      0.03464         37.00000       
-314.61745      -314.50027      0.11718         50.00000       
-320.27104      -320.04959      0.22145         51.00000       
-330.79195      -330.71458      0.07737         53.00000       
-249.26516      -249.23011      0.03506         40.00000       
-336.05693      -336.08233      0.02540         54.00000       
-249.46088      -249.25956      0.20132         40.00000       
-574.10720      -574.17040      0.06320         94.00000       
-254.50769      -254.41599      0.09171         41.00000       
-341.83141      -341.76430      0.06711         55.00000       
-330.76092      -330.59455      0.16636         53.00000       
-336.19233      -336.16185      0.03048         54.00000       
-336.19302      -336.25140      0.05838         54.00000       
-314.82606      -314.75658      0.06948         50.00000       
-382.50416      -382.57864      0.07448         64.00000       
-303.01471      -303.05771      0.04300         48.00000       
-354.51165      -354.48533      0.02631         58.00000       
-595.85441      -595.86424      0.00983         98.00000       
-334.71784      -334.88031      0.16246         54.00000       
-354.51493      -354.54655      0.03162         58.00000       
-329.56722      -329.47890      0.08832         53.00000       
-334.81862      -334.91177      0.09315         54.00000       
-358.62683      -358.57655      0.05029         59.00000       
-339.50503      -339.81356      0.30853         55.00000       
-354.53161      -354.41568      0.11593         58.00000       
-359.08575      -359.02787      0.05789         59.00000       
-339.54967      -339.60440      0.05473         55.00000       
-373.50742      -373.55359      0.04617         62.00000       
-611.17501      -611.06987      0.10514         101.00000      
-334.28577      -334.28878      0.00301         54.00000       
-359.55744      -359.43201      0.12544         59.00000       
-319.27534      -319.28659      0.01124         51.00000       
-378.21358      -378.12719      0.08639         63.00000       
-324.64303      -324.54710      0.09593         52.00000       
-349.78932      -349.76655      0.02278         57.00000       
-364.06349      -364.13924      0.07576         60.00000       
-354.70276      -354.62744      0.07533         58.00000       
-368.88915      -368.84996      0.03919         61.00000       
-359.23284      -359.11556      0.11727         59.00000       
-528.89185      -528.81843      0.07342         85.00000       
-373.64082      -373.68571      0.04489         62.00000       
-334.25181      -334.25647      0.00466         54.00000       
-349.57624      -349.78649      0.21024         57.00000       
-354.20348      -354.26547      0.06199         58.00000       
-324.22300      -324.18661      0.03640         52.00000       
-329.73699      -329.70296      0.03403         53.00000       
-378.05731      -378.39226      0.33495         63.00000       
-345.03902      -345.11588      0.07686         56.00000       
-368.89252      -368.83768      0.05485         61.00000       
-378.05137      -378.22032      0.16895         63.00000       
-545.21000      -545.13487      0.07513         88.00000       
-329.44070      -329.40700      0.03371         53.00000       
-319.34431      -319.28537      0.05894         51.00000       
-313.84778      -313.88105      0.03327         50.00000       
-349.56104      -349.61294      0.05190         57.00000       
-373.54734      -373.65839      0.11106         62.00000       
-364.07090      -363.93075      0.14015         60.00000       
-354.24163      -354.22859      0.01304         58.00000       
-344.88968      -345.06796      0.17829         56.00000       
-308.47682      -308.56514      0.08832         49.00000       
-364.22764      -364.26587      0.03823         60.00000       
-601.98344      -602.11081      0.12737         99.00000       
-313.99838      -313.87444      0.12393         50.00000       
-334.97982      -335.05281      0.07299         54.00000       
-359.63699      -359.47671      0.16028         59.00000       
-368.85895      -368.97665      0.11770         61.00000       
-354.82154      -355.02327      0.20173         58.00000       
-329.93429      -329.86474      0.06954         53.00000       
-344.54995      -344.65619      0.10624         56.00000       
-339.91926      -340.04404      0.12478         55.00000       
-319.39985      -319.31333      0.08652         51.00000       
-345.05378      -345.10313      0.04936         56.00000       
-611.43191      -611.51655      0.08465         101.00000      
-359.64946      -359.62095      0.02851         59.00000       
-334.88288      -334.96001      0.07713         54.00000       
-313.86873      -314.00313      0.13441         50.00000       
-329.77376      -329.92012      0.14636         53.00000       
-354.76067      -354.69672      0.06396         58.00000       
-339.99180      -339.87897      0.11282         55.00000       
-369.00326      -368.81157      0.19169         61.00000       
-319.27848      -319.20314      0.07534         51.00000       
-364.32368      -364.42401      0.10033         60.00000       
-308.47665      -308.63433      0.15768         49.00000       
-591.88584      -591.86724      0.01860         97.00000       
-340.21744      -340.32296      0.10552         55.00000       
-364.27840      -364.33115      0.05275         60.00000       
-334.88648      -334.92244      0.03596         54.00000       
-350.14150      -349.98415      0.15735         57.00000       
-330.00366      -330.09519      0.09153         53.00000       
-345.50956      -345.40347      0.10609         56.00000       
-359.57570      -359.41896      0.15674         59.00000       
-324.74052      -324.70604      0.03448         52.00000       
-369.06360      -368.94288      0.12072         61.00000       
-330.12671      -330.11744      0.00927         53.00000       
-586.86842      -586.86294      0.00547         96.00000       
-335.25579      -335.14491      0.11089         54.00000       
-340.31489      -340.21663      0.09826         55.00000       
-350.06828      -350.18972      0.12144         57.00000       
-354.71169      -354.61313      0.09856         58.00000       
-359.53361      -359.59404      0.06044         59.00000       
-364.31146      -364.12915      0.18231         60.00000       
-368.90082      -368.87868      0.02214         61.00000       
-340.29049      -340.27320      0.01730         55.00000       
-345.37259      -345.61987      0.24728         56.00000       
-350.06362      -350.05904      0.00459         57.00000       
-550.36500      -550.26386      0.10114         89.00000       
-644.16505      -644.10415      0.06090         108.00000      
-354.85316      -354.89928      0.04612         58.00000       
-359.49286      -359.60270      0.10984         59.00000       
