Element  Element        epsilon               sigma        

   Li       Li       -27376.5232328597         0.2951873714
   Li       Ni           -0.8520675093         2.5249427525
   Li       O             1.0963462216         1.7494179442
   Ni       Ni     -1675257.4166903503         0.3400625239
   Ni       O            11.7088020165         1.6660627184
   O        O       -353471.3623662214         0.3016256434
