Element  Element          D_e                   a                   r_e                   C          

   Li       Li            0.0000000009         6.5261627159         0.0239429059         0.0323777327
   Li       Ni            1.1075917401         7.9304840779         0.0000587143        -0.8269314624
   Li       O             1.7952110932         1.5612286056         1.3185140441        -1.7784916519
   Ni       Ni            1.8500347989        10.2243948013         0.0113092380         1.5629160809
   Ni       O            10.3926416844         1.1894348207         1.4662202528       -10.4029371982
   O        O             0.3034567677        11.2627685173         0.0014215952         0.9467748879
