Element  Element           A                    B                    C          

   Li       Li          -78.2757527080         1.8194536814      -304.3744729615
   Li       Ni           30.1127760254         1.1211158066       249.1783340381
   Li       O           -39.4426065934         1.6727630627       -24.1574539847
   Ni       Ni            8.4885675345        23.0824875922    -10363.4789467274
   Ni       O          -111.5992367064         1.1812271755      -140.1256740751
   O        O             0.5942162456         0.2128404420      -983.0511386745
