Element  Element          D_e                   a                   r_e                   C          

   O        O             0.0000000164         5.6801292566         0.0047101970         0.1176008233
   Ni       Ni            0.6076482753         8.5121540837         0.0002851670         0.1709074609
   Li       Li            0.0000005323         4.6607354752         0.0566641371         0.0539347354
   Li       Ni            0.0000000163         5.5032974704         0.0195562299         0.0590978457
   Li       O             0.2284662597         2.3806005272         1.6616421734        -0.2280159159
   Ni       O             1.4903805926         1.5410295747         1.9001152398        -1.5684156578
