Element  Element           A                    B                    C          

   O        O            10.5182625927         1.2068298363        27.8833202115
   Ni       Ni           35.9300048632         1.0119379560       127.7574931017
   Li       Li            3.9156269137         1.0720492015        21.6823632218
   Li       Ni           85.8090077258         1.7665335743       187.6755550461
   Li       O           -27.3997986382         2.2826277674        -8.1466476864
   Ni       O           -17.4464814509         1.0834898384       -32.9063283447
