Element  Element        epsilon               sigma        

   O        O            -0.4518491086         2.1798841091
   Ni       Ni           -2.6933587732         2.2069699565
   Li       Li           -0.1737681105         2.4158111071
   Li       Ni           -0.2735533611         2.2557340667
   Li       O             0.1981236281         1.6221957168
   Ni       O             1.8393462810         1.4312713054
