Element  Element           A                    B                    C          

   Li       Ni           -5.0023682802         1.9175390831        -9.7787042685
   Li       O           -10.3012067781         2.5873507049        -2.9600586722
   Ni       O            -0.6658684802         1.4150642896        -0.8371532928
   O        O            -1.3696597814         1.8536227147        -3.5465899350
   Ni       Ni           -0.2738635994         1.6791497790        -1.3393412639
   Li       Li           17.1568363487         1.4380034873        81.7453408953
