Element  Element          D_e                   a                   r_e                   C          

   Li       Ni            0.0037732684         4.1929694764         2.8710541932        -0.0036986040
   Li       O             0.0123047659         4.0100381884         2.0267261268        -0.0122493897
   Ni       O             0.0305196509         1.3338829716         1.6693875421        -0.0297742394
   O        O             0.0000000002         4.2379414303         0.2542072277        -0.0000014884
   Ni       Ni            0.0000000001         3.0131994727         0.1058730933         0.0000140908
   Li       Li            0.0000000100         5.0944561462         0.0393832035         0.0402660532
